Neuron;cpisosec;cfisosec;cpcrosssec;rndisosec;rndisofull
1424M_CXG16;0;0;0;0;0
1427A_CXG4;0;1;1;0;0
1427C_CXG8;0;0;0;0;0
1427F_CXG6;0;0;0;0;0
1427K_CXG4;0;0;0;0;0
1429D_CXG8;0;0;0;0;0
1440G_CXG11;0;0;0;0;0
1440H_CXG7;0;0;1;0;0
1507H_CXG3;0;0;0;0;0
1509C_CXG6;0;0;0;0;0
1509E_CXG4;1;1;0;0;0
1512D_CXG2;0;0;0;0;0
1512E_CXG4;0;0;0;0;0
1512F_CXG6;0;0;0;0;0
1516C_CXG3;1;1;0;0;0
1516D_CXG3;1;0;0;0;0
1516F_CXG2;1;0;0;1;1
1516G_CXG2;1;1;0;1;1
1516K_CXG2;0;0;0;0;0
1516M_CXG2;1;0;0;0;0
1516N_CXG3;0;0;0;0;0
1516P_CXG3;0;0;0;0;0
1524C_CXG2;0;0;0;0;0
1524D_CXG7;0;0;0;0;0
1527B_CXG2;1;1;0;0;1
1622C_CXG3;0;0;0;0;0
1622D_CXG4;0;0;0;0;0
1622H_CXG3;1;1;0;1;0
1627A_CXG3;0;1;0;0;0
1627E_CXG4;1;0;1;1;1
1627F_CXG10;0;0;0;0;0
1627I_CXG4;1;0;0;0;0
1638D_CXG5;0;0;0;0;0
1641A_CXG5;1;0;0;0;0
1641G_CXG5;0;1;0;0;0
1649C_CXG4;0;0;0;0;0
1649F_CXG6;1;0;0;0;0
